title,description,url,category,role
6 Behavioral Nudges to Reduce Bias in Hiring and Promotions,"everyone who has worked to get diversity right knows there is no elixir that increases diverse talent in leadership roles. Doing DEI by the numbers just won’t get you there. But here’s some good news: By focusing on decision intelligence, and on evidence-based solutions that drive scalable change and increase inclusion, leaders can increase the number of diverse candidates that they hire and promote.",https://hbr.org/2022/11/6-behavioral-nudges-to-reduce-bias-in-hiring-and-promotions,Article,managers 
How to reduce bias in your workplace,"We all have bias -- especially the unconscious kind -- and it's preventing us from doing our best work. Gone unchecked, bias can make employees feel resentful, frustrated and silenced, and it can even lead to outright discrimination and harassment. Check out three key ways to reduce bias at work, according to Just Work cofounders Kim Scott and Trier Bryant.",https://www.ted.com/talks/kim_scott_and_trier_bryant_how_to_reduce_bias_in_your_workplace,TED Talks,managers 
A New Way to Combat Bias at Work,"Joan Williams says that it's extremely difficult for organizations to rid their workforces of the unconscious biases that can prevent women and minorities from advancing. But it's not so hard for individual managers to interrupt bias within their own teams. She offers specific suggestions for how bosses can shift their approach in four areas: hiring, meetings, assignments, and reviews/promotions.",https://podcasts.apple.com/gb/podcast/a-new-way-to-combat-bias-at-work/id152022135?i=1000462472919,Podcast,managers 
What Makes an Inclusive Leader,"Organizational leaders are increasingly leveraging inclusion to attract talent, retain employees, and motivate high creativity and excellence.",https://url.de.m.mimecastprotect.com/s/HKT_ClRZA6U9y6rZfq9qhK?domain=hbr.org,Article,managers
Inclusive Leadership Training,"A programme designed to equip leaders with the mindset and skills needed to create workplaces where every individual feels valued, respected, and empowered to contribute. Through practical tools, self-awareness, and real-world strategies, participants learn to embrace diversity, foster psychological safety, and lead with empathy and equity — building stronger, more innovative, and more inclusive teams.",https://ilearnppb.com/course/view.php?id=207,Courses,managers
Belonging circles,"A supportive space designed for managers to come together, discuss challenges, and share experiences. Leading a team brings unique rewards and responsibilities, and we recognize that navigating these can sometimes be challenging. Belonging Circles offer a place to connect with fellow managers, exchange insights, and learn strategies to support each other and foster belonging within our teams.",https://ilearnppb.com/course/view.php?id=207,Courses,managers
What First-Time managers Can Do to Address Burnout," Becoming “the boss” is a significant career transition, and is often accompanied by shifting relationship dynamics at work, including leading direct reports. If managers don’t put their mental health first, burnout could easily rub off onto their teams. Here are some ways to take care of yourself as you start to lead.",https://hbr.org/2022/03/what-first-time-managers-can-do-to-address-burnout,Article,managers
Leading the 6-Generation Workforce,"Explores how today’s leaders can navigate and leverage the most age-diverse workforce in history. It offers insights into understanding generational differences, fostering collaboration across age groups, and creating inclusive environments where every generation’s strengths contribute to collective success.",https://hbr.org/2024/04/leading-the-6-generation-workforce,Article,managers
12 top leaders share how they are redefining leadership to embrace inclusivity,"As the next generation of leaders emerges and matures, it is imperative that we redefine leadership models to ensure they are inclusive and accessible to all. This Articleexplores the emergence of this new leadership paradigm through the work of visionary Young Global Leaders who are championing change in various fields.",https://www.weforum.org/stories/2023/10/redefining-leadership-embracing-inclusivity-and-accessibility/,Article,managers
The Manager’s Guide to Inclusive Leadership — Small Habits That Make a Big Impact,"Explores how everyday actions can help managers build more inclusive and equitable teams. It highlights practical, simple habits that foster trust, belonging, and psychological safety, showing how small, consistent changes in leadership behavior can create meaningful and lasting impact.",https://review.firstround.com/the-managers-guide-to-inclusive-leadership-small-habits-that-make-a-big-impact/#why-the-%E2%80%9Ci%E2%80%9D-in-dei-matters-and-what-it-actually-means,Article,managers
Are You Playing Favorites With Employee Recognition?,"A common misconception shared by managers and leaders is that paychecks alone are enough to make employees feel valued. While paychecks are still important, real value is best conveyed by recognizing employees for who they are and what they do. Employee recognition engages, retains and develops employees.",https://www.gallup.com/workplace/392660/playing-favorites-employee-recognition.aspx,Article,managers
Is Your Employee Recognition Really Authentic?,"Employees want -- and need -- to be recognized at work for what they do and who they are. Gallup and Workhuman have uncovered many ways in which recognition boosts employees’ engagement, wellbeing, inclusion and belonging at work -- all of which may help to explain why organizations that make recognition a part of their culture also see cost-savings in retention.",https://www.gallup.com/workplace/508208/employee-recognition-really-authentic.aspx,Article,managers
"It’s not about the office, it’s about belonging","To retain employees, organizations need to evolve their approach to building community, cohesion, and a sense of belonging at work.",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/the-organization-blog/its-not-about-the-office-its-about-belonging,Article,managers
What Is Psychological Safety?,"Explores the concept of psychological safety — a team environment where people feel safe to speak up, share ideas, admit mistakes, and ask questions without fear of embarrassment or punishment. It highlights why psychological safety is crucial for learning, innovation, and performance, clarifies common misconceptions, and offers practical ways leaders can foster a culture of trust, openness, and inclusion at work.",https://hbr.org/2023/02/what-is-psychological-safety,Article,managers
Diversity and Inclusion: Bottom-Up as Well as Top-Down,"Highlights how lasting diversity and inclusion require both top-down leadership commitment and bottom-up employee engagement, showing that real progress happens when strategy and grassroots action work together.",https://www.gallup.com/cliftonstrengths/en/266405/diversity-inclusion-bottom-top-down.aspx,Article,managers
Women in the Workplace 2024,"Over the past decade, there have been important gains for women at every level of the corporate pipeline, particularly in senior leadership. Almost 30% of C-suite leaders are now women.
However, the pipeline is not as healthy as the numbers suggest.",https://womenintheworkplace.com/,Report,managers
Observatório da Discriminação Contra Pessoas LGBTI+,"O Observatório da Discriminação Contra Pessoas LGBTI+ (lesbian, gay, bisexual, trans, intersex, and other identities) by ILGA Portugal is an online platform, available since 2013, aimed at receiving reports of discrimination and/or violence based on sexual orientation, gender identity and expression, or sexual characteristics occurring within Portuguese territory.",https://ilga-portugal.pt/denunciar-a-discriminacao/observatorio-da-discriminacao/,Report,managers
Global report on ageism,World Health Organization (2021). Global report on ageism. World Health Organization.,https://iris.who.int/items/5516b4d4-13bf-4fcd-82b3-2decd40164ee,Report,managers
Don't Put People in Boxes,"When we label people and put them in different boxes, we don't see PEOPLE for who they truly are.",https://www.youtube.com/watch?v=zRwt25M5nGw,Video,hiring team
6 Behavioral Nudges to Reduce Bias in Hiring and Promotions,"everyone who has worked to get diversity right knows there is no elixir that increases diverse talent in leadership roles. Doing DEI by the numbers just won’t get you there. But here’s some good news: By focusing on decision intelligence, and on evidence-based solutions that drive scalable change and increase inclusion, leaders can increase the number of diverse candidates that they hire and promote.",https://hbr.org/2022/11/6-behavioral-nudges-to-reduce-bias-in-hiring-and-promotions,Article,hiring team
How to reduce bias in your workplace,"We all have bias -- especially the unconscious kind -- and it's preventing us from doing our best work. Gone unchecked, bias can make employees feel resentful, frustrated and silenced, and it can even lead to outright discrimination and harassment. Check out three key ways to reduce bias at work, according to Just Work cofounders Kim Scott and Trier Bryant.",https://www.ted.com/talks/kim_scott_and_trier_bryant_how_to_reduce_bias_in_your_workplace,TED Talks,hiring team
A New Way to Combat Bias at Work,"Joan Williams says that it's extremely difficult for organizations to rid their workforces of the unconscious biases that can prevent women and minorities from advancing. But it's not so hard for individual managers to interrupt bias within their own teams. She offers specific suggestions for how bosses can shift their approach in four areas: hiring, meetings, assignments, and reviews/promotions.",https://podcasts.apple.com/gb/podcast/a-new-way-to-combat-bias-at-work/id152022135?i=1000462472919,Podcast,hiring team
Unlocking Belonging at Blip,"A learning journey designed to strengthen the foundations of inclusion across our company. It equips us with the awareness, tools, and practices to build a workplace where every individual feels valued, respected, and truly belongs — fostering a culture that empowers everyone to contribute and thrive.",https://ilearnppb.com/mod/facetoface/view.php?id=10149,Courses,everyone
Trailliant Self-paced Training,"a self-paced Inclusion & Belonging course designed to help individuals strengthen their understanding of inclusion and build the skills to foster a workplace where everyone feels valued and truly belongs. Participants can progress at their own pace, gaining practical insights and tools to contribute to a culture of belonging and empowerment.",https://wd3.myworkday.com/flutterbe/learning/course/20ab6001796e10014fe08af253e30000?type=9882927d138b100019b928e75843018d&record=20ab6001796e100150228bca735d0001,Courses,everyone
"Diversity, Equity, and Inclusion: a Beginner's Guide","Practical strategies for developing your company's global Diversity, Equity, and Inclusion function",https://ppb.udemy.com/course/diversity-equity-and-inclusion-a-beginners-guide/,Courses,everyone
Diversity And Inclusion In The Workplace,"Fostering Diversity & Inclusion, Mitigating Unconscious Bias, and Advancing Global Cultural Competence",https://ppb.udemy.com/course/diversity-and-inclusion-b/,Courses,everyone
Why Diversity Matters,New research makes it increasingly clear that companies with more diverse workforces perform better financially.,https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/why-diversity-matters,Article,everyone
Why DEI Still Matters (and How to Get It Right),A tested approach to DEI that creates lasting change.,https://hbr.org/podcast/2024/11/why-dei-still-matters-and-how-to-get-it-right,Article,everyone
The Diversity & Inclusion Revolution,Eight Powerful Truths.,https://www.deloitte.com/content/dam/insights/Article/2024/4209_diversity-and-inclusion-revolution/di-diversity-and-inclusion-revolution.pdf,Article,everyone
"A Critical Piece of Diversity, Equity & Inclusion - Carin Taylor","Emphasizes the importance of creating environments where individuals feel they truly belong, highlighting belonging as a vital component of effective DEI efforts.",https://www.ted.com/talks/carin_taylor_belonging_a_critical_piece_of_diversity_equity_inclusion,TED Talks,everyone
Inclusion Unlocked,"This podcast explores pressing DEI challenges in the workplace, offering practical tips and sharing lived experiences to help organizations dismantle barriers to inclusion.",https://open.spotify.com/show/4GYgaZyJgXJnlKLNrGZkLp,Podcast,everyone
DEI After 5 with Sacha,"Hosted by Sacha, this series provides actionable strategies and inspiring stories to empower listeners in their DEI journeys, catering to both newcomers and seasoned advocates.​",https://podcasts.apple.com/us/podcast/dei-after-5-with-sacha/id1723641701,Podcast,everyone
The DEI Shift,"Focusing on the healthcare sector, this podcast discusses DEI in medicine, offering practice-changing insights for healthcare professionals and leaders.​",https://open.spotify.com/show/12PUDntuHNwxZlEYftUFGH?si=c4f3aa43a24241c6,Podcast,everyone
